title,description,url,use_cases,product,third_party,author
Agent API Calls,A walkthrough of how to use Langchain cohere_react_agent to make API calls to external services that require regex.,https://docs.cohere.com/page/agent-api-calls,agents,command,langchain,marco
Short-Term Memory Handling for Agents,A walkthrough of how to use Langchain cohere_react_agent to effectively manage short-term chat history that contains tool calls with Langchain.,https://docs.cohere.com/page/agent-short-term-memory,agents,command,langchain,marco
Agentic Multi-Stage RAG with Cohere Tools API,How to use Agents to improve RAG performance.,https://docs.cohere.com/page/agentic-multi-stage-rag,"agents, rag","command, embed",-,jason
Agentic RAG for PDFs with mixed data,A walkthrough of how to use Langchain cohere_react_agent to run RAG as an agent tool to handle PDFs with mixed table and text data.,https://docs.cohere.com/page/agentic-rag-mixed-data,"agents, rag","command, embed",langchain,shaan
Analysis of Form 10-K/10-Q Using Cohere and RAG,Jumpstart financial analysis of 10-Ks or 10-Qs with Cohere's Command model and LlamaIndex tooling.,https://docs.cohere.com/page/analysis-of-financial-forms,summarization,"command, embed",langchain,alex
Analyzing Hacker News with Cohere,Learn how to analyze textual data using Cohere's tools.,https://docs.cohere.com/page/analyzing-hacker-news,clustering,embed,bertopic,-
Multi-Step Tool Use with Cohere,"Multi-step tool use allows developers to connect Cohere's models to external tools like search engines, APIs, and databases.",https://docs.cohere.com/page/basic-multi-step,agents,"command, embed",langchain,-
Basic RAG: Retrieval-Augmented Generation with Cohere,RAG boosts the accuracy of language models by combining them with a retrieval system.,https://docs.cohere.com/page/basic-rag,rag,"command, embed, rerank",langchain,
Basic Semantic Search with Cohere Models,Learn how to build a simple semantic search engine using sentence embeddings.,https://docs.cohere.com/page/basic-semantic-search,search,embed,-,-
Getting Started with Basic Tool Use,"Connect large language models to external tools, like search engines, APIs, and databases, to access and utilise a wider range of data.",https://docs.cohere.com/page/basic-tool-use,agents,command,-,-
Calendar Agent with Native Multi Step Tool,A minimal working example of how to use our chat API to call tools.,https://docs.cohere.com/page/calendar-agent,agents,command,-,-
Effective Chunking Strategies for RAG,Explore chunking strategies for RAG systems.,https://docs.cohere.com/page/chunking-strategies,rag,"command, embed, rerank","langchain, llamaindex",ania
Creating a QA Bot From Technical Documentation,Create a chatbot that answers user questions based on technical documentation using Cohere embeddings and LlamaIndex.,https://docs.cohere.com/page/creating-a-qa-bot,rag,"command, embed, rerank",llamaindex,-
Financial CSV Agent with Native Multi-Step Cohere API,This notebook demonstrates how to setup a Cohere Native API sequence of tool calls to answer questions over the income statement and balance sheet from Apple's SEC10K 2020 form.,https://docs.cohere.com/page/csv-agent-native-api,agents,command,langchain,jason
Financial CSV Agent with Langchain,The notebook demonstrates how to setup a Langchain Cohere ReAct Agent to answer questions over the income statement and balance sheet from Apple's SEC10K 2020 form.,https://docs.cohere.com/page/csv-agent,agents,command,langchain,shaan
Migrating away from deprecated create_csv_agent in langchain-cohere,This page contains a tutorial on how to build a CSV agent without the deprecated 'create_csv_agent abstraction in langchain-cohere v0.3.5 and beyond.,https://docs.cohere.com/page/migrate-csv-agent,agent,command,langchain,-
A Data Analyst Agent Built with Cohere and Langchain,Build a data analyst agent with Python and Cohere's Command R+ mode and Langchain.,https://docs.cohere.com/page/data-analyst-agent,agent,command,langchain,-
Advanced Document Parsing For Enterprises,Learn how to parse PDFs into text with a real-world example.,https://docs.cohere.com/page/document-parsing-for-enterprises,rag,"command, embed, rerank",-,giannis
End-to-end RAG using Elasticsearch and Cohere,Learn how to use Cohere and Elastic for semantic search and retrieval-augmented generation.,https://docs.cohere.com/page/elasticsearch-and-cohere,rag,"command, embed, rerank",elasticsearch,-
Serverless Semantic Search with Cohere and Pinecone,Learn how to use Cohere's Embed Jobs and Pinecone's serverless solution to perform semantic search.,https://docs.cohere.com/page/embed-jobs-serverless-pinecone,search,"embed, rerank, datasets",pinecone,-
Semantic Search with Cohere Embed Jobs,Learn how to use Cohere Embed Jobs to create semantic search functionality.,https://docs.cohere.com/page/embed-jobs,search,"embed_jobs, embed, rerank",-,-
Fueling Generative Content with Keyword Research,"Enhance content creation with keyword-based topic clusters, generating blog ideas with Cohere's Chat model.",https://docs.cohere.com/page/fueling-generative-content,"generation, clustering","chat, embed",-,-
Grounded Summarization Using Command R,"Learn how to summarise long documents with citations, reducing cost and improving latency.",https://docs.cohere.com/page/grounded-summarization,summarization,"chat, embed",-,-
Long-Form Text Strategies with Cohere,Techniques to address lengthy documents exceeding the context window of LLMs.,https://docs.cohere.com/page/long-form-general-strategies,"generation, rag","command, embed, rerank",-,ania
Migrating Monolithic Prompts to Command-R with RAG,"Command-R simplifies prompt migration to RAG, reducing hallucination and improving conciseness and grounding.",https://docs.cohere.com/page/migrating-prompts,generation,command,-,-
Multilingual Search with Cohere and Langchain,Multilingual search with Cohere and Langchain.,https://docs.cohere.com/page/multilingual-search,search,"command, embed",langchain,-
PDF Extractor with Native Multi Step Tool Use,How we can leverage agents to extract information from PDFs?,https://docs.cohere.com/page/pdf-extractor,agents,command,unstructured,jason
Deep Dive Into Evaluating RAG Outputs,Learn how to evaluate RAG models.,https://docs.cohere.com/page/rag-evaluation-deep-dive,rag,-,llamaindex,marco
RAG With Chat Embed and Rerank via Pinecone,This notebook shows how to build a RAG-powered chatoot with Cohere's Chat endpoint.,https://docs.cohere.com/page/rag-with-chat-embed,rag,"command, embed, rerank",-,-
Learn How Cohere’s Rerank Models Work,"Improve search results with Cohere's Relevance Endpoint, which reranks documents for better accuracy.",https://docs.cohere.com/page/rerank-demo,search,rerank,-,-
Build a SQL Agent with Cohere’s LLM Platform,In this notebook we explore how to setup a Cohere ReAct Agent to answer questions over SQL Databases using Langchain's SQLDBToolkit.,https://docs.cohere.com/page/sql-agent,agents,command,langchain,shaan
Evaluating Text Summarization Models,This cookbook demonstrates an approach to evaluating summarization tasks using LLM evaluation.,https://docs.cohere.com/page/summarization-evals,summarization,command,-,-
Text Classification Using Embeddings,Build a text classifier with Cohere embeddings. This notebook shows you how to train a sentiment analysis model with a small dataset.,https://docs.cohere.com/page/text-classification-using-embeddings,classification,embed,-,-
Topic Modeling System for AI Papers,Topic Modeling System for AI Papers,https://docs.cohere.com/page/topic-modeling-ai-papers,clustering,embed,-,-
Wikipedia Semantic Search with Cohere + Weaviate,Search 10 million Wikipedia vectors with Cohere's multilingual model and Weaviate's public dataset.,https://docs.cohere.com/page/wikipedia-search-with-weaviate,search,embed,weaviate,-
Wikipedia Semantic Search with Cohere Embedding Archives,Find relevant Wikipedia passages with semantic search and Cohere embeddings.,https://docs.cohere.com/page/wikipedia-semantic-search,search,embed,-,-
Build Chatbots with MongoDB and Cohere,Build a chatbot that provides actionable insights on technology company market reports.,https://docs.cohere.com/page/rag-cohere-mongodb,rag,"command, embed, rerank",mongodb,-
Finetuning on Cohere’s Platform,An example of finetuning using Cohere's platform and a financial dataset.,https://docs.cohere.com/page/convfinqa-finetuning-wandb,finetuning,command,-,komal
Deploy your finetuned model on AWS Marketplace,Learn how to deploy your finetuned model on AWS Marketplace.,https://docs.cohere.com/page/deploy-finetuned-model-aws-marketplace,finetuning,command,aws,youran
Finetuning Cohere Models on AWS Sagemaker,Learn how to finetune one of Cohere's models on AWS Sagemaker.,https://docs.cohere.com/page/finetune-on-sagemaker,finetuning,command,aws,mike
SQL Agent with Cohere and LangChain (i-5O Case Study),Build a SQL agent with Cohere and LangChain in the manufacturing industry.,https://docs.cohere.com/page/sql-agent-cohere-langchain,rag,command,langchain,-
Introduction to Aya Vision,"Explore the capabilities of Aya Vision, which can take text and image inputs to generates text responses.",https://docs.cohere.com/page/aya-vision-intro,multimodal,aya,-,-
